year,puma,borough,neighborhoods,financial_health_score,overall_rank,indicator_rank,indicator,indicator_number
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,27.0,Percentage of housing units that are owner-occupied,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,24.0,Ratio of banks & credit unions to check cashers & pawnshops,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,21.0,Percentage of residents with a prime or better credit score,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,14.0,Supermarket square footage per 100 residents,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,37.0,"Number of job training and placement programs per 10,000 unemployed residents",Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,40.0,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,31.0,Percentage of residents who have lived in their homes for 10 or more years,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,27.0,"Number of bank and credit union branches per 10,000 residents",Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,3.0,Percentage of rental housing units that are under regulatory protection,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,15.0,Percentage of 3- and 4-year-olds enrolled in early education programs,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,17.0,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,19.0,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,45.0,"Number of NYC certified M/WBEs per 100,000 residents",Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,28.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,20.0,Percentage of residents with health insurance,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,38.0,Percentage of adults who did not receive needed medical care in past year,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,29.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,20.0,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,12.0,Median income-to-poverty line ratio of residents age 65 and older,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,34.0,Racial/ethnic mix of mortgage loans originated in the past year,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,22.0,Percentage of households that pay more than 30% of income on rent,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,42.0,Average (mean) amount of money spent monthly on transportation per household,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,19.0,Median income of neighborhood residents with 5 or more years housing tenure,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,10.0,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,31.0,"Number of community and public institutions per 10,000 residents",Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,29.0,Percentage of residents with a bank or credit union account,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,18.0,Percentage of households that pay more than 50% of income on rent,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,38.0,Percentage of median household income spent on transportation,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,19.0,Percentage of high school students who graduate on time (within 4 years),Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,29.0,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,32.0,Percentage of jobs in small businesses (less than 20 employees),Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,38.0,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,27.0,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,41.0,Average (mean) travel time to work in minutes,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,28.0,Percentage of people eligible for SNAP receiving the benefit,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,26.0,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,23.0,Estimated percentage of residents that used mobile banking in past twelve months,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,40.0,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,9.0,Percentage of eligible Tax Units claiming EITC,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,21.0,Percentage of adults with a high school degree or equivalent,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",5.184720365,Middle,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,27.0,Percentage of housing units that are owner-occupied,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,24.0,Ratio of banks & credit unions to check cashers & pawnshops,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,21.0,Percentage of residents with a prime or better credit score,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,14.0,Supermarket square footage per 100 residents,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,37.0,"Number of job training and placement programs per 10,000 unemployed residents",Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,40.0,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,31.0,Percentage of residents who have lived in their homes for 10 or more years,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,27.0,"Number of bank and credit union branches per 10,000 residents",Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,3.0,Percentage of rental housing units that are under regulatory protection,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,15.0,Percentage of 3- and 4-year-olds enrolled in early education programs,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,17.0,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,19.0,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,45.0,"Number of NYC certified M/WBEs per 100,000 residents",Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,28.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,20.0,Percentage of residents with health insurance,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,38.0,Percentage of adults who did not receive needed medical care in past year,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,29.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,20.0,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,12.0,Median income-to-poverty line ratio of residents age 65 and older,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,34.0,Racial/ethnic mix of mortgage loans originated in the past year,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,22.0,Percentage of households that pay more than 30% of income on rent,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,42.0,Average (mean) amount of money spent monthly on transportation per household,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,19.0,Median income of neighborhood residents with 5 or more years housing tenure,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,10.0,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,31.0,"Number of community and public institutions per 10,000 residents",Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,29.0,Percentage of residents with a bank or credit union account,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,18.0,Percentage of households that pay more than 50% of income on rent,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,38.0,Percentage of median household income spent on transportation,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,19.0,Percentage of high school students who graduate on time (within 4 years),Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,29.0,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,32.0,Percentage of jobs in small businesses (less than 20 employees),Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,38.0,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,27.0,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,41.0,Average (mean) travel time to work in minutes,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,28.0,Percentage of people eligible for SNAP receiving the benefit,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,26.0,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,23.0,Estimated percentage of residents that used mobile banking in past twelve months,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,40.0,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,9.0,Percentage of eligible Tax Units claiming EITC,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,21.0,Percentage of adults with a high school degree or equivalent,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",1.919035719,Bottom,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,27.0,Percentage of housing units that are owner-occupied,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,24.0,Ratio of banks & credit unions to check cashers & pawnshops,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,21.0,Percentage of residents with a prime or better credit score,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,14.0,Supermarket square footage per 100 residents,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,37.0,"Number of job training and placement programs per 10,000 unemployed residents",Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,40.0,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,31.0,Percentage of residents who have lived in their homes for 10 or more years,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,27.0,"Number of bank and credit union branches per 10,000 residents",Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,3.0,Percentage of rental housing units that are under regulatory protection,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,15.0,Percentage of 3- and 4-year-olds enrolled in early education programs,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,17.0,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,19.0,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,45.0,"Number of NYC certified M/WBEs per 100,000 residents",Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,28.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,20.0,Percentage of residents with health insurance,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,38.0,Percentage of adults who did not receive needed medical care in past year,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,29.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,20.0,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,12.0,Median income-to-poverty line ratio of residents age 65 and older,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,34.0,Racial/ethnic mix of mortgage loans originated in the past year,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,22.0,Percentage of households that pay more than 30% of income on rent,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,42.0,Average (mean) amount of money spent monthly on transportation per household,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,19.0,Median income of neighborhood residents with 5 or more years housing tenure,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,10.0,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,31.0,"Number of community and public institutions per 10,000 residents",Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,29.0,Percentage of residents with a bank or credit union account,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,18.0,Percentage of households that pay more than 50% of income on rent,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,38.0,Percentage of median household income spent on transportation,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,19.0,Percentage of high school students who graduate on time (within 4 years),Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,29.0,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,32.0,Percentage of jobs in small businesses (less than 20 employees),Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,38.0,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,27.0,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,41.0,Average (mean) travel time to work in minutes,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,28.0,Percentage of people eligible for SNAP receiving the benefit,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,26.0,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,23.0,Estimated percentage of residents that used mobile banking in past twelve months,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,40.0,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,9.0,Percentage of eligible Tax Units claiming EITC,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 7
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,21.0,Percentage of adults with a high school degree or equivalent,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",7.4913156,Top,,,Indicator 8
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,27.0,Percentage of housing units that are owner-occupied,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,24.0,Ratio of banks & credit unions to check cashers & pawnshops,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,21.0,Percentage of residents with a prime or better credit score,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,14.0,Supermarket square footage per 100 residents,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,37.0,"Number of job training and placement programs per 10,000 unemployed residents",Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,40.0,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,,,Indicator 1
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,31.0,Percentage of residents who have lived in their homes for 10 or more years,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,27.0,"Number of bank and credit union branches per 10,000 residents",Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,3.0,Percentage of rental housing units that are under regulatory protection,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,15.0,Percentage of 3- and 4-year-olds enrolled in early education programs,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,17.0,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,19.0,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,,,Indicator 2
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,45.0,"Number of NYC certified M/WBEs per 100,000 residents",Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,28.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,20.0,Percentage of residents with health insurance,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,38.0,Percentage of adults who did not receive needed medical care in past year,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,29.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,20.0,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,,,Indicator 3
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,12.0,Median income-to-poverty line ratio of residents age 65 and older,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,34.0,Racial/ethnic mix of mortgage loans originated in the past year,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,22.0,Percentage of households that pay more than 30% of income on rent,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,42.0,Average (mean) amount of money spent monthly on transportation per household,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,19.0,Median income of neighborhood residents with 5 or more years housing tenure,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,10.0,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,,,Indicator 4
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,31.0,"Number of community and public institutions per 10,000 residents",Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,29.0,Percentage of residents with a bank or credit union account,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,18.0,Percentage of households that pay more than 50% of income on rent,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,38.0,Percentage of median household income spent on transportation,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,19.0,Percentage of high school students who graduate on time (within 4 years),Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,29.0,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,,,Indicator 5
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,32.0,Percentage of jobs in small businesses (less than 20 employees),Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,38.0,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,27.0,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Indicator 6
2020,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",4.585010881,Middle,41.0,Average (mean) travel time to work in minutes,Indicator 6
